,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
549,2024-03-04 09:19:22,1.0,E12,route_E12_A16,3,2024-03-04 09:19:19
240,2024-03-04 09:19:29,1.0,E24,route_E24_A2,9,2024-03-04 09:19:20
140,2024-03-04 09:19:24,1.0,E3,route_E3_A1,3,2024-03-04 09:19:21
350,2024-03-04 09:19:22,1.0,E22,route_E22_A6,0,2024-03-04 09:19:22
155,2024-03-04 09:19:25,1.0,E3,route_E3_A1,3,2024-03-04 09:19:22
157,2024-03-04 09:19:28,1.0,E3,route_E3_A1,3,2024-03-04 09:19:25
241,2024-03-04 09:19:34,1.0,E24,route_E24_A1,9,2024-03-04 09:19:25
510,2024-03-04 09:19:31,1.0,E4,route_E4_A7,3,2024-03-04 09:19:28
158,2024-03-04 09:19:31,1.0,E3,route_E3_A1,3,2024-03-04 09:19:28
509,2024-03-04 09:19:37,1.0,E4,route_E4_A7,3,2024-03-04 09:19:34
508,2024-03-04 09:19:40,1.0,E4,route_E4_A18,3,2024-03-04 09:19:37
507,2024-03-04 09:19:42,1.0,E4,route_E4_A7,3,2024-03-04 09:19:39
403,2024-03-04 09:19:42,1.0,E10,route_E10_A5,1,2024-03-04 09:19:41
32,2024-03-04 09:19:47,1.0,E13,route_E13_A5,4,2024-03-04 09:19:43
58,2024-03-04 09:19:59,1.0,E5,route_E5_A3,4,2024-03-04 09:19:55
388,2024-03-04 09:19:56,1.0,E2,route_E2_A3,0,2024-03-04 09:19:56
418,2024-03-04 09:19:59,1.0,E9,route_E9_A2,3,2024-03-04 09:19:56
105,2024-03-04 09:20:03,1.0,E7,route_E7_A18,2,2024-03-04 09:20:01
99,2024-03-04 09:20:03,1.0,E6,route_E6_A2,2,2024-03-04 09:20:01
478,2024-03-04 09:20:06,1.0,E4,route_E4_A7,3,2024-03-04 09:20:03
98,2024-03-04 09:20:05,1.0,E6,route_E6_A2,2,2024-03-04 09:20:03
121,2024-03-04 09:20:05,1.0,E7,route_E7_A16,2,2024-03-04 09:20:03
31,2024-03-04 09:20:09,1.0,E13,route_E13_A2,4,2024-03-04 09:20:05
97,2024-03-04 09:20:08,1.0,E6,route_E6_A2,2,2024-03-04 09:20:06
297,2024-03-04 09:20:08,1.0,E7,route_E7_A1,2,2024-03-04 09:20:06
96,2024-03-04 09:20:10,1.0,E6,route_E6_A2,2,2024-03-04 09:20:08
391,2024-03-04 09:20:12,1.0,E11,route_E11_A16,2,2024-03-04 09:20:10
417,2024-03-04 09:20:15,1.0,E11,route_E11_A16,2,2024-03-04 09:20:13
160,2024-03-04 09:20:23,1.0,E18,route_E18_A5,9,2024-03-04 09:20:14
477,2024-03-04 09:20:19,1.0,E4,route_E4_A7,3,2024-03-04 09:20:16
161,2024-03-04 09:20:29,1.0,E18,route_E18_A5,9,2024-03-04 09:20:20
476,2024-03-04 09:20:26,1.0,E4,route_E4_A7,3,2024-03-04 09:20:23
106,2024-03-04 09:20:28,1.0,E20,route_E20_A2,4,2024-03-04 09:20:24
349,2024-03-04 09:20:25,1.0,E22,route_E22_A2,0,2024-03-04 09:20:25
475,2024-03-04 09:20:29,1.0,E4,route_E4_A7,3,2024-03-04 09:20:26
416,2024-03-04 09:20:29,1.0,E11,route_E11_A16,2,2024-03-04 09:20:27
242,2024-03-04 09:20:36,1.0,E24,route_E24_A2,9,2024-03-04 09:20:27
243,2024-03-04 09:20:38,1.0,E24,route_E24_A5,9,2024-03-04 09:20:29
244,2024-03-04 09:20:40,1.0,E24,route_E24_A2,9,2024-03-04 09:20:31
245,2024-03-04 09:20:41,1.0,E24,route_E24_A2,9,2024-03-04 09:20:32
73,2024-03-04 09:20:37,1.0,E5,route_E5_A3,4,2024-03-04 09:20:33
246,2024-03-04 09:20:43,1.0,E24,route_E24_A2,9,2024-03-04 09:20:34
256,2024-03-04 09:20:44,1.0,E24,route_E24_A2,9,2024-03-04 09:20:35
276,2024-03-04 09:20:46,1.0,E24,route_E24_A2,9,2024-03-04 09:20:37
257,2024-03-04 09:20:49,1.0,E24,route_E24_A2,9,2024-03-04 09:20:40
279,2024-03-04 09:20:51,1.0,E24,route_E24_A2,9,2024-03-04 09:20:42
280,2024-03-04 09:20:52,1.0,E24,route_E24_A2,9,2024-03-04 09:20:43
281,2024-03-04 09:20:54,1.0,E24,route_E24_A2,9,2024-03-04 09:20:45
445,2024-03-04 09:20:50,1.0,E4,route_E4_A7,3,2024-03-04 09:20:47
282,2024-03-04 09:20:56,1.0,E24,route_E24_A2,9,2024-03-04 09:20:47
444,2024-03-04 09:20:53,1.0,E4,route_E4_A7,3,2024-03-04 09:20:50
283,2024-03-04 09:20:59,1.0,E24,route_E24_A2,9,2024-03-04 09:20:50
284,2024-03-04 09:21:00,1.0,E24,route_E24_A2,9,2024-03-04 09:20:51
443,2024-03-04 09:20:56,1.0,E4,route_E4_A7,3,2024-03-04 09:20:53
285,2024-03-04 09:21:03,1.0,E24,route_E24_A1,9,2024-03-04 09:20:54
442,2024-03-04 09:20:59,1.0,E4,route_E4_A7,3,2024-03-04 09:20:56
286,2024-03-04 09:21:05,1.0,E24,route_E24_A2,9,2024-03-04 09:20:56
59,2024-03-04 09:21:02,1.0,E5,route_E5_A3,4,2024-03-04 09:20:58
60,2024-03-04 09:21:07,1.0,E5,route_E5_A3,4,2024-03-04 09:21:03
150,2024-03-04 09:21:10,1.0,E1,route_E1_A16,2,2024-03-04 09:21:08
122,2024-03-04 09:21:12,1.0,E7,route_E7_A18,2,2024-03-04 09:21:10
348,2024-03-04 09:21:14,1.0,E22,route_E22_A1,0,2024-03-04 09:21:14
347,2024-03-04 09:21:16,1.0,E22,route_E22_A2,0,2024-03-04 09:21:16
8,2024-03-04 09:21:21,1.0,E20,route_E20_A2,4,2024-03-04 09:21:17
151,2024-03-04 09:21:21,1.0,E1,route_E1_A16,2,2024-03-04 09:21:19
358,2024-03-04 09:21:24,1.0,E9,route_E9_A1,3,2024-03-04 09:21:21
346,2024-03-04 09:21:22,1.0,E22,route_E22_A6,0,2024-03-04 09:21:22
371,2024-03-04 09:21:23,1.0,E2,route_E2_A3,0,2024-03-04 09:21:23
7,2024-03-04 09:21:31,1.0,E20,route_E20_A2,4,2024-03-04 09:21:27
6,2024-03-04 09:21:36,1.0,E20,route_E20_A2,4,2024-03-04 09:21:32
159,2024-03-04 09:21:36,1.0,E3,route_E3_A1,3,2024-03-04 09:21:33
61,2024-03-04 09:21:38,1.0,E5,route_E5_A3,4,2024-03-04 09:21:34
345,2024-03-04 09:21:36,1.0,E22,route_E22_A1,0,2024-03-04 09:21:36
175,2024-03-04 09:21:39,1.0,E3,route_E3_A1,3,2024-03-04 09:21:36
5,2024-03-04 09:21:40,1.0,E20,route_E20_A2,4,2024-03-04 09:21:36
392,2024-03-04 09:21:40,1.0,E9,route_E9_A1,3,2024-03-04 09:21:37
62,2024-03-04 09:21:41,1.0,E5,route_E5_A3,4,2024-03-04 09:21:37
344,2024-03-04 09:21:39,1.0,E22,route_E22_A2,0,2024-03-04 09:21:39
176,2024-03-04 09:21:42,1.0,E3,route_E3_A1,3,2024-03-04 09:21:39
287,2024-03-04 09:21:48,1.0,E24,route_E24_A2,9,2024-03-04 09:21:39
177,2024-03-04 09:21:43,1.0,E3,route_E3_A1,3,2024-03-04 09:21:40
288,2024-03-04 09:21:51,1.0,E24,route_E24_A2,9,2024-03-04 09:21:42
178,2024-03-04 09:21:46,1.0,E3,route_E3_A1,3,2024-03-04 09:21:43
343,2024-03-04 09:21:44,1.0,E22,route_E22_A2,0,2024-03-04 09:21:44
415,2024-03-04 09:21:47,1.0,E11,route_E11_A18,2,2024-03-04 09:21:45
404,2024-03-04 09:21:46,1.0,E10,route_E10_A5,1,2024-03-04 09:21:45
289,2024-03-04 09:21:54,1.0,E24,route_E24_A2,9,2024-03-04 09:21:45
30,2024-03-04 09:21:50,1.0,E13,route_E13_A2,4,2024-03-04 09:21:46
394,2024-03-04 09:21:50,1.0,E9,route_E9_A1,3,2024-03-04 09:21:47
393,2024-03-04 09:21:50,1.0,E9,route_E9_A6,3,2024-03-04 09:21:47
290,2024-03-04 09:21:56,1.0,E24,route_E24_A2,9,2024-03-04 09:21:47
